date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,population
25/01/2020,Victoria,VIC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/01/2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/01/2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/01/2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/01/2020,Victoria,VIC,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30/01/2020,Victoria,VIC,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31/01/2020,Victoria,VIC,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1/02/2020,Victoria,VIC,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/02/2020,Victoria,VIC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/02/2020,Victoria,VIC,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/02/2020,Victoria,VIC,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/02/2020,Victoria,VIC,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1/03/2020,Victoria,VIC,2,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
2/03/2020,Victoria,VIC,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
3/03/2020,Victoria,VIC,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
4/03/2020,Victoria,VIC,1,10,0,0,0,0,1,10,0,0,0,0,0,0,0,0,
5/03/2020,Victoria,VIC,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,
6/03/2020,Victoria,VIC,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,
7/03/2020,Victoria,VIC,1,11,0,0,0,0,1,11,0,0,0,0,0,0,0,0,
8/03/2020,Victoria,VIC,1,12,0,0,0,0,1,12,0,0,0,0,0,0,0,0,
9/03/2020,Victoria,VIC,3,15,0,0,0,0,3,15,0,0,0,0,0,0,0,0,
10/03/2020,Victoria,VIC,3,18,0,0,0,0,3,18,0,0,0,0,0,0,0,0,
11/03/2020,Victoria,VIC,3,21,0,0,0,0,3,21,0,0,0,0,0,0,0,0,
