LGA_x,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,Testing Rate,,,,,,,,
Alpine ,VIC242,12814,0,1,0,0,0,Alpine,31/10/2020,2294,,,,,,,,
Ararat ,VIC220,11845,0,7,0,0,0,Ararat,31/10/2020,5040,,,,,,,,
Ballarat ,VIC241,109505,0,58,0,0,0,Ballarat,31/10/2020,2536,,,,,,,,
Banyule ,VIC188,131631,5,450,3.8,0,1,Banyule,31/10/2020,5426,,,,,,,,
Bass Coast ,VIC173,36320,0,10,0,0,0,Bass Coast,31/10/2020,2968,,,,,,,,
Baw Baw ,VIC194,53396,0,16,0,0,0,Baw Baw,31/10/2020,2637,,,,,,,,
Bayside ,VIC182,106862,1,247,0.9,0,1,Bayside,31/10/2020,3818,,,,,,,,
Benalla ,VIC199,14037,0,3,0,0,0,Benalla,31/10/2020,2493,,,,,,,,
Boroondara ,VIC201,183199,0,271,0,0,0,Boroondara,31/10/2020,3577,,,,,,,,
Brimbank ,VIC189,209523,7,2021,3.3,0,1,Brimbank,31/10/2020,3084,,,,,,,,
Buloke ,VIC183,6124,0,0,0,0,0,Buloke,31/10/2020,2890,,,,,,,,
Campaspe ,VIC239,37622,0,10,0,0,0,Campaspe,31/10/2020,2477,,,,,,,,
Cardinia ,VIC212,112159,0,204,0,0,0,Cardinia,31/10/2020,4009,,,,,,,,
Casey ,VIC213,353872,2,1063,0.6,0,1,Casey,31/10/2020,3178,,,,,,,,
Central Goldfields ,VIC169,13186,0,2,0,0,0,Central Goldfields,31/10/2020,2677,,,,,,,,
Colac-Otway ,VIC224,21564,0,137,0,0,0,Colac-Otway,31/10/2020,3937,,,,,,,,
Corangamite ,VIC231,16020,0,3,0,0,0,Corangamite,31/10/2020,2797,,,,,,,,
Darebin ,VIC205,164184,7,667,4.3,0,1,Darebin,31/10/2020,5650,,,,,,,,
East Gippsland ,VIC243,47316,0,7,0,0,0,East Gippsland,31/10/2020,1570,,,,,,,,
Frankston ,VIC227,142643,1,248,0.7,0,1,Frankston,31/10/2020,3978,,,,,,,,
Gannawarra ,VIC214,10472,0,2,0,0,0,Gannawarra,31/10/2020,1767,,,,,,,,
Glen Eira ,VIC177,156511,1,232,0.6,0,1,Glen Eira,31/10/2020,3814,,,,,,,,
Glenelg ,VIC223,19674,0,20,0,0,0,Glenelg,31/10/2020,3228,,,,,,,,
Golden Plains ,VIC230,23722,0,18,0,0,0,Golden Plains,31/10/2020,2445,,,,,,,,
Greater Bendigo ,VIC193,118093,0,99,0,0,0,Greater Bendigo,31/10/2020,3248,,,,,,,,
Greater Dandenong ,VIC247,168201,2,540,1.2,0,1,Greater Dandenong,31/10/2020,2785,,,,,,,,
Greater Geelong ,VIC215,258934,0,366,0,0,0,Greater Geelong,31/10/2020,2880,,,,,,,,
Greater Shepparton ,VIC93,66498,0,52,0,0,0,Greater Shepparton,31/10/2020,4223,,,,,,,,
Hepburn ,VIC94,15975,0,2,0,0,0,Hepburn,31/10/2020,2980,,,,,,,,
Hindmarsh ,VIC152,5588,0,0,0,0,0,Hindmarsh,31/10/2020,4188,,,,,,,,
Hobsons Bay ,VIC235,97751,2,504,2,0,1,Hobsons Bay,31/10/2020,3901,,,,,,,,
Horsham ,VIC153,19921,0,14,0,0,0,Horsham,31/10/2020,2098,,,,,,,,
Hume ,VIC198,233471,6,1665,2.6,0,1,Hume,31/10/2020,3893,,,,,,,,
Indigo ,VIC191,16701,0,1,0,0,0,Indigo,31/10/2020,2407,,,,,,,,
Kingston ,VIC226,165782,0,300,0,0,0,Kingston,31/10/2020,3813,,,,,,,,
Knox ,VIC209,164538,0,166,0,0,0,Knox,31/10/2020,2980,,,,,,,,
Latrobe ,VIC219,75561,0,56,0,0,0,Latrobe,31/10/2020,1988,,,,,,,,
Loddon ,VIC185,7504,0,5,0,0,0,Loddon,31/10/2020,2026,,,,,,,,
Macedon Ranges ,VIC228,50231,0,57,0,0,0,Macedon Ranges,31/10/2020,3504,,,,,,,,
Manningham ,VIC195,127573,0,166,0,0,0,Manningham,31/10/2020,2816,,,,,,,,
Mansfield ,VIC244,9176,0,10,0,0,0,Mansfield,31/10/2020,2823,,,,,,,,
Maribyrnong ,VIC234,93448,2,596,2.1,0,1,Maribyrnong,31/10/2020,4590,,,,,,,,
Maroondah ,VIC207,118558,0,104,0,0,0,Maroondah,31/10/2020,3309,,,,,,,,
Melbourne ,VIC132,178955,2,883,1.1,0,1,Melbourne,31/10/2020,3736,,,,,,,,
Melton ,VIC237,164895,5,1153,3,0,1,Melton,31/10/2020,3918,,,,,,,,
Mildura ,VIC222,55777,0,6,0,0,0,Mildura,31/10/2020,2065,,,,,,,,
Mitchell ,VIC211,46082,0,89,0,0,0,Mitchell,31/10/2020,3487,,,,,,,,
Moira ,VIC190,29925,0,12,0,0,0,Moira,31/10/2020,2583,,,,,,,,
Monash ,VIC210,202847,1,337,0.5,0,1,Monash,31/10/2020,3009,,,,,,,,
Moonee Valley ,VIC121,130294,0,811,0,0,0,Moonee Valley,31/10/2020,4204,,,,,,,,
Moorabool ,VIC236,35049,0,38,0,0,0,Moorabool,31/10/2020,3007,,,,,,,,
Moreland ,VIC131,185767,1,1052,0.5,0,1,Moreland,31/10/2020,4873,,,,,,,,
Mornington Peninsula ,VIC204,167636,0,185,0,0,0,Mornington Peninsula,31/10/2020,3653,,,,,,,,
Mount Alexander ,VIC105,19754,0,9,0,0,0,Mount Alexander,31/10/2020,3483,,,,,,,,
Moyne ,VIC229,16953,0,2,0,0,0,Moyne,31/10/2020,2855,,,,,,,,
Murrindindi ,VIC250,14570,0,9,0,0,0,Murrindindi,31/10/2020,2642,,,,,,,,
Nillumbik ,VIC216,65094,0,136,0,0,0,Nillumbik,31/10/2020,3440,,,,,,,,
Northern Grampians ,VIC166,11402,0,3,0,0,0,Northern Grampians,31/10/2020,3473,,,,,,,,
Port Phillip ,VIC208,115601,1,294,0.9,0,1,Port Phillip,31/10/2020,4047,,,,,,,,
Pyrenees ,VIC217,7472,0,3,0,0,0,Pyrenees,31/10/2020,2222,,,,,,,,
Queenscliffe ,VIC238,2940,0,2,0,0,0,Queenscliffe,31/10/2020,2347,,,,,,,,
South Gippsland ,VIC178,29914,0,11,0,0,0,South Gippsland,31/10/2020,2307,,,,,,,,
Southern Grampians ,VIC233,16100,0,2,0,0,0,Southern Grampians,31/10/2020,2919,,,,,,,,
Stonnington ,VIC203,117768,0,260,0,0,0,Stonnington,31/10/2020,3875,,,,,,,,
Strathbogie ,VIC110,10781,0,2,0,0,0,Strathbogie,31/10/2020,2653,,,,,,,,
Surf Coast ,VIC225,33456,0,15,0,0,0,Surf Coast,31/10/2020,2819,,,,,,,,
Swan Hill ,VIC180,20649,0,5,0,0,0,Swan Hill,31/10/2020,2300,,,,,,,,
Towong ,VIC187,6040,0,0,0,0,0,Towong,31/10/2020,2930,,,,,,,,
Wangaratta ,VIC186,29187,0,2,0,0,0,Wangaratta,31/10/2020,2583,,,,,,,,
