iso_code,continent,Country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,29/10/2020,41145,0,90.714,1529,0,4,1056.942,0,2.33,39.277,0,0.103,,,,,,,,,,,,,,,,,,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
ALB,Europe,Albania,29/10/2020,20040,311,298.857,493,6,4.429,6963.653,108.069,103.849,171.311,2.085,1.539,,,,,,,,,,,,,,,,,,,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
DZA,Africa,Algeria,29/10/2020,57026,320,276.429,1941,10,8.714,1300.448,7.297,6.304,44.263,0.228,0.199,,,,,,,,,,,,,,,,,,,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.754
AND,Europe,Andorra,29/10/2020,4517,107,100.857,72,0,1.286,58461.14,1384.844,1305.341,931.858,0,16.64,,,,,,,,,,,,,,,,,,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.858
AGO,Africa,Angola,29/10/2020,9871,227,260.286,271,1,2.857,300.338,6.907,7.92,8.246,0.03,0.087,,,,,,,,,,,,,,,,,,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AIA,North America,Anguilla,29/10/2020,3,0,0,,0,0,199.973,0,0,,0,0,,,,,,,,,,,,,,,,,,,15002,,,,,,,,,,,,,81.88,
ATG,North America,Antigua and Barbuda,29/10/2020,124,0,0.286,3,0,0,1266.236,0,2.918,30.635,0,0,,,,,,,,,,,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
ARG,South America,Argentina,29/10/2020,1130520,13924,13315.429,30071,341,364.571,25013.841,308.082,294.617,665.35,7.545,8.066,,,,,,,,,,,,,,,,,,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.825
ARM,Asia,Armenia,29/10/2020,85034,2383,2357.714,1272,29,21.571,28696.35,804.189,795.656,429.261,9.787,7.28,,,,,,,,,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
ABW,North America,Aruba,29/10/2020,4437,17,9.714,36,0,0.143,41558.174,159.227,90.987,337.186,0,1.338,,,,,,,,,,,,,,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
AUS,Oceania,Australia,29/10/2020,27554,13,15.714,907,2,0.286,1080.554,0.51,0.616,35.569,0.078,0.011,,,,,,,,,,,,,,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.939
AUT,Europe,Austria,29/10/2020,91895,4149,3018,1040,34,14.286,10203.3,460.672,335.095,115.473,3.775,1.586,,,,,,,,,,,,,,,,,,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.908
AZE,Asia,Azerbaijan,29/10/2020,52137,988,792,699,11,8.143,5142.134,97.444,78.113,68.941,1.085,0.803,,,,,,,,,,,,,,,,,,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
BHS,North America,Bahamas,29/10/2020,6549,47,71.143,136,4,1.286,16653.613,119.517,180.911,345.838,10.172,3.269,,,,,,,,,,,,,,,,,,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.807
BHR,Asia,Bahrain,29/10/2020,81022,489,302.143,317,1,1.286,47615.661,287.379,177.566,186.297,0.588,0.756,,,,,,,,,,,,,,,,,,,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.846
BGD,Asia,Bangladesh,29/10/2020,403079,1493,1421.143,5861,23,19.714,2447.511,9.066,8.629,35.588,0.14,0.12,,,,,,,,,,,,,,,,,,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BRB,North America,Barbados,29/10/2020,234,1,1.714,7,0,0,814.278,3.48,5.965,24.359,0,0,,,,,,,,,,,,,,,,,,,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8
BLR,Europe,Belarus,29/10/2020,95545,936,843.286,969,4,4,10111.309,99.055,89.243,102.547,0.423,0.423,,,,,,,,,,,,,,,,,,,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.808
BLZ,North America,Belize,29/10/2020,3261,29,46.286,52,1,0.857,8201.277,72.934,116.407,130.778,2.515,2.156,,,,,,,,,,,,,,,,,,,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.708
BEN,Africa,Benin,29/10/2020,2643,86,12.286,41,0,0,218.012,7.094,1.013,3.382,0,0,,,,,,,,,,,,,,,,,,,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
BMU,North America,Bermuda,29/10/2020,194,0,0.857,9,0,0,3115.315,0,13.764,144.525,0,0,,,,,,,,,,,,,,,,,,,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59,
BTN,Asia,Bhutan,29/10/2020,346,1,2,,0,0,448.412,1.296,2.592,,0,0,,,,,,,,,,,,,,,,,,,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.612
BOL,South America,Bolivia,29/10/2020,141321,197,156.143,8694,22,19.429,12106.626,16.877,13.376,744.794,1.885,1.664,,,,,,,,,,,,,,,,,,,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.693
BES,North America,Bonaire Sint Eustatius and Saba,29/10/2020,153,3,0.429,3,0,0,5835.018,114.412,16.345,114.412,0,0,,,,,,,,,,,,,,,,,,,26221,,,,,,,,,,,,,77.79,
BIH,Europe,Bosnia and Herzegovina,29/10/2020,44737,3121,1203.143,1161,57,18.571,13635.941,951.288,366.721,353.875,17.374,5.661,,,,,,,,,,,,,,,,,,,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768
BWA,Africa,Botswana,29/10/2020,6283,0,96.286,21,0,0,2671.77,0,40.944,8.93,0,0,,,,,,,,,,,,,,,,,,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.717
BRA,South America,Brazil,29/10/2020,5468270,28629,24214,158456,510,436.143,25725.843,134.687,113.916,745.467,2.399,2.052,,,,,,,,,,,,,,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.759
VGB,North America,British Virgin Islands,29/10/2020,72,0,0,1,0,0,2381.189,0,0,33.072,0,0,,,,,,,,,,,,,,,,,,,30237,207.973,,,,,,,13.67,,,,,79.07,
BRN,Asia,Brunei,29/10/2020,148,0,0.143,3,0,0,338.299,0,0.327,6.857,0,0,,,,,,,,,,,,,,,,,,,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.853
BGR,Europe,Bulgaria,29/10/2020,45461,2760,1732.286,1197,36,21.286,6542.615,397.211,249.306,172.269,5.181,3.063,,,,,,,,,,,,,,,,,,,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.813
BFA,Africa,Burkina Faso,29/10/2020,2466,0,8.571,67,0,0.286,117.972,0,0.41,3.205,0,0.014,,,,,,,,,,,,,,,,,,,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
BDI,Africa,Burundi,29/10/2020,559,1,1.286,1,0,0,47.011,0.084,0.108,0.084,0,0,,,,,,,,,,,,,,,,,,,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.417
KHM,Asia,Cambodia,29/10/2020,290,0,0.571,,0,0,17.346,0,0.034,,0,0,,,,,,,,,,,,,,,,,,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.582
CMR,Africa,Cameroon,29/10/2020,21793,0,31.857,426,0,0.143,820.957,0,1.2,16.048,0,0.005,,,,,,,,,,,,,,,,,,45.37,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.556
CAN,North America,Canada,29/10/2020,225586,2699,2746.571,10032,31,29,5977.03,71.512,72.772,265.804,0.821,0.768,,,,,,,,,,,,,,,,,,55.09,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.926
CPV,Africa,Cape Verde,29/10/2020,8548,76,73.571,94,0,0.571,15374.433,136.694,132.326,169.068,0,1.028,,,,,,,,,,,,,,,,,,,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.654
CYM,North America,Cayman Islands,29/10/2020,239,0,0.571,1,0,0,3636.64,0,8.695,15.216,0,0,,,,,,,,,,,,,,,,,,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,
CAF,Africa,Central African Republic,29/10/2020,4863,0,0.714,62,0,0,1006.881,0,0.148,12.837,0,0,,,,,,,,,,,,,,,,,,,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.367
TCD,Africa,Chad,29/10/2020,1468,8,9.143,97,1,0.143,89.371,0.487,0.557,5.905,0.061,0.009,,,,,,,,,,,,,,,,,,,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.404
CHL,South America,Chile,29/10/2020,505530,1005,1413.286,14032,6,44.714,26445.097,52.573,73.931,734.037,0.314,2.339,,,,,,,,,,,,,,,,,,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.843
CHN,Asia,China,29/10/2020,91241,24,28.143,4739,0,0,63.392,0.017,0.02,3.293,0,0,,,,,,,,,,,,,,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.752
COL,South America,Colombia,29/10/2020,1041935,8717,8605,30753,188,184.143,20477.122,171.315,169.114,604.388,3.695,3.619,,,,,,,,,,,,,,,,,,,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.747
COM,Africa,Comoros,29/10/2020,525,8,3,7,0,0,603.729,9.2,3.45,8.05,0,0,,,,,,,,,,,,,,,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.503
COG,Africa,Congo,29/10/2020,5253,0,13.857,92,0,0,951.959,0,2.511,16.672,0,0,,,,,,,,,,,,,,,,,,,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.606
CRI,North America,Costa Rica,29/10/2020,106553,1231,1018.286,1340,11,14.857,20916.886,241.651,199.895,263.049,2.159,2.917,,,,,,,,,,,,,,,,,,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.794
CIV,Africa,Cote d'Ivoire,29/10/2020,20555,67,27.429,124,2,0.429,779.24,2.54,1.04,4.701,0.076,0.016,,,,,,,,,,,,,,,,,,,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.492
HRV,Europe,Croatia,29/10/2020,40999,2378,1816,493,23,14.286,9986.924,579.256,442.358,120.09,5.603,3.48,,,,,,,,,,,,,,,,,,,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.831
CUB,North America,Cuba,29/10/2020,6727,49,51.286,128,0,0.143,593.911,4.326,4.528,11.301,0,0.013,,,,,,,,,,,,,,,,,,,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777
CUW,North America,Curacao,29/10/2020,884,11,14.143,1,0,0,5386.959,67.032,86.184,6.094,0,0,,,,,,,,,,,,,,,,,,,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
CYP,Europe,Cyprus,29/10/2020,3817,0,121.571,25,0,0,4357.808,0,138.796,28.542,0,0,,,,,,,,,,,,,,,,,,,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.869
CZE,Europe,Czech Republic,29/10/2020,297013,12980,12585.429,2675,128,133.714,27734.942,1212.067,1175.222,249.79,11.953,12.486,,,,,,,,,,,,,,,,,,,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.888
COD,Africa,Democratic Republic of Congo,29/10/2020,11210,20,20.714,304,0,0.286,125.166,0.223,0.231,3.394,0,0.003,,,,,,,,,,,,,,,,,,,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.457
DNK,Europe,Denmark,29/10/2020,43174,1017,881.571,715,6,3.571,7453.813,175.581,152.2,123.442,1.036,0.617,,,,,,,,,,,,,,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.929
DJI,Africa,Djibouti,29/10/2020,5555,11,6.143,61,0,0,5622.458,11.134,6.217,61.741,0,0,,,,,,,,,,,,,,,,,,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.476
DMA,North America,Dominica,29/10/2020,42,4,1.286,,0,0,583.406,55.563,17.859,,0,0,,,,,,,,,,,,,,,,,,,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.715
DOM,North America,Dominican Republic,29/10/2020,125570,562,453.143,2232,6,3.714,11575.508,51.807,41.772,205.754,0.553,0.342,,,,,,,,,,,,,,,,,,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.736
ECU,South America,Ecuador,29/10/2020,164908,1716,1326.143,12608,20,22.143,9346.905,97.262,75.165,714.615,1.134,1.255,,,,,,,,,,,,,,,,,,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.752
EGY,Africa,Egypt,29/10/2020,107030,153,163.857,6234,12,11.286,1045.885,1.495,1.601,60.918,0.117,0.11,,,,,,,,,,,,,,,,,,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.696
SLV,North America,El Salvador,29/10/2020,32925,0,115,967,5,4.429,5076.161,0,17.73,149.086,0.771,0.683,,,,,,,,,,,,,,,,,,52.78,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.674
GNQ,Africa,Equatorial Guinea,29/10/2020,5083,0,1.286,83,0,0,3622.99,0,0.916,59.16,0,0,,,,,,,,,,,,,,,,,,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.591
ERI,Africa,Eritrea,29/10/2020,461,0,1.286,,0,0,129.99,0,0.363,,0,0,,,,,,,,,,,,,,,,,,,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
EST,Europe,Estonia,29/10/2020,4590,125,59.857,73,0,0.286,3460.132,94.23,45.123,55.03,0,0.215,,,,,,,,,,,,,,,,,,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.871
ETH,Africa,Ethiopia,29/10/2020,94820,602,528.857,1451,6,9.571,824.783,5.236,4.6,12.621,0.052,0.083,,,,,,,,,,,,,,,,,,,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.463
FRO,Europe,Faeroe Islands,29/10/2020,494,0,0.857,,0,0,10109.485,0,17.541,,0,0,,,,,,,,,,,,,,,,,,,48865,35.308,,,,,,,,,,,,80.67,
FLK,South America,Falkland Islands,29/10/2020,13,0,0,,0,0,3732.415,0,0,,0,0,,,,,,,,,,,,,,,,,,,3483,,,,,,,,,,,,,81.44,
FJI,Oceania,Fiji,29/10/2020,33,0,0,2,0,0,36.812,0,0,2.231,0,0,,,,,,,,,,,,,,,,,,,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.741
FIN,Europe,Finland,29/10/2020,15378,215,186.714,354,0,0.143,2775.453,38.804,33.699,63.891,0,0.026,,,,,,,,,,,,,,,,,,,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.92
FRA,Europe,France,29/10/2020,1235132,36437,39673,35785,244,248.143,18922.408,558.22,607.796,548.232,3.738,3.802,,,,,,,,,,,,,,,,,,,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
PYF,Oceania,French Polynesia,29/10/2020,6493,0,269,26,0,1.429,23114.658,0,957.623,92.558,0,5.086,,,,,,,,,,,,,,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,
GAB,Africa,Gabon,29/10/2020,8957,20,8,55,1,0.143,4024.301,8.986,3.594,24.711,0.449,0.064,,,,,,,,,,,,,,,,,,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.702
GMB,Africa,Gambia,29/10/2020,3666,1,1.286,119,0,0.143,1516.967,0.414,0.532,49.241,0,0.059,,,,,,,,,,,,,,,,,,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
